Product Link,Image URL,Category,Gender,Brand,Description,Ratings,Ratings Count,Price
https://www.myntra.com/tshirts/marks+%26+spencer/marks--spencer-round-neck-pure-cotton-t-shirt/24790638/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24790638/2023/10/10/efc0e0d3-d74f-4ea9-bcc3-deccb265a4cc1696879010973MarksSpencerWomenNavyBlueHoodedPocketsT-shirt1.jpg",tshirts,F,Marks & Spencer,Round Neck Pure Cotton T-shirt,3.7,39,499
https://www.myntra.com/tshirts/friskers/friskers-women-typography-printed-round-neck-cotton-oversized-t-shirt/30905108/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/9/2J8qfdLd_184c5da8038e4b3197d7395a1d8225a7.jpg",tshirts,F,Friskers,Women Oversized T-shirt,4.7,9,629
https://www.myntra.com/tshirts/h%26m/-hm-fitted-t-shirt/30064786/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/30064786/2024/6/28/934b70e5-23e4-4d07-bbfc-79f885121c621719571791973HMFittedT-Shirt1.jpg",tshirts,F,H&M,Fitted T-Shirt,3.9,3000,Rs. 399
https://www.myntra.com/tshirts/friskers/friskers-women-graphic-printed-round-neck-cotton-oversized-t-shirt/30905106/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/SEPTEMBER/9/vSjcUBZK_81d9c02396e7472393a501c65243cf96.jpg",tshirts,F,Friskers,Women Oversized T-shirt,4.7,9,629
https://www.myntra.com/sweaters/u.s.+polo+assn./us-polo-assn-embroidered-brand-logo-long-sleeves-pullover/25732804/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25732804/2023/11/2/d6c344f4-78b9-459a-8065-c242066e38971698935674773LongSleeveCrewNeckSweater1.jpg",sweaters,M,U.S. Polo Assn.,Brand Logo Pullover,4.3,13,2079
https://www.myntra.com/sweaters/campus+sutra/campus-sutra-men-colourblocked-long-sleeves-pullover/31236807/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/2024/OCTOBER/7/8xSUIVp6_992f07924a90428e80ee3d004948f745.jpg",sweaters,M,Campus Sutra,Men Colourblocked Pullover,3.1,8,2079
https://www.myntra.com/sweaters/roadster/the-roadster-lifestyle-co-men-blue--cream-coloured-cable-knit-pullover/18336776/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/18336776/2022/11/17/840c2525-c95b-4618-a850-76e7c18186b91668669668863-Roadster-Men-Sweaters-8151668669668173-1.jpg",sweaters,M,Roadster,Men Cable Knit Pullover,4.4,3600,835
https://www.myntra.com/sweaters/u.s.+polo+assn./us-polo-assn-long-sleeves-round-neck-pullover/25732742/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25732742/2023/11/2/ddf12110-55b6-4fde-925f-f0194aef42dd1698937854982CrewNeckSolidSweater1.jpg",sweaters,M,U.S. Polo Assn.,Long Sleeves Pullover,3.8,31,1499
https://www.myntra.com/sweaters/roadster/the-roadster-lifestyle-co-men-off-white-checked-knitted-patterned-pullover/15654416/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/15654416/2021/10/6/2baa3df0-7590-4fcc-b291-9d84a775caa61633502646677-Computerised-Jacquard-Sweater-381633502646109-1.jpg",sweaters,M,Roadster,Men Checked Knitted Pullover,4.2,9900,759
https://www.myntra.com/sweaters/u.s.+polo+assn./us-polo-assn-round-neck-cotton-pullover/25732788/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25732788/2023/11/2/00f7e19f-af4b-4716-ac1a-b0988dd8e06f1698935438564CrewNeckSolidSweater1.jpg",sweaters,M,U.S. Polo Assn.,Round Neck Cotton Pullover,4.8,21,1299
